Date;Dated Brent;Propane;Gasoline;Jet;Gasoil;FO 1%;ULSD;Naphtha;Butane;FO 3.5%;VGO 0.5%;FO 0.5%;VGO 2%;
01.09.2009;67.4;-23.81167758;8.24169248;9.865681385;7.104740347;-1.295132705;9.547761942;-1.049220851;-20.52983804;-4.910980899;2.927530833;;-0.121289741;
01.10.2009;72.8;-25.67596853;8.313332061;10.47615038;9.228736038;-3.186184205;11.66412796;-3.062565477;-24.56185164;-6.383127049;3.332927131;;1.927675599;
01.11.2009;76.7;-23.92586438;8.039013483;9.198064209;7.211788991;-2.299195643;9.038986904;-1.529675036;-24.71640769;-6.310689985;4.28020297;;2.795981859;
01.12.2009;74.3;-20.60500392;6.86942255;10.49976699;8.05384561;-2.915693775;9.828706803;1.496320066;-21.57534881;-6.589158786;4.792910792;;3.209010451;
01.01.2010;76.2;-15.57624026;9.898720684;10.95302531;8.801656244;-2.562451255;10.47219152;3.283646115;-18.25737536;-5.614965949;4.510621169;;2.756072083;
01.02.2010;73.6;-19.16966347;10.93933548;10.67857454;8.641491507;-2.468454808;10.85547029;1.963246107;-20.62228681;-5.555599976;5.534923272;;3.595922693;
01.03.2010;78.9;-23.72743267;14.1503045;11.04514152;10.82713392;-4.906116215;12.52317726;2.466122987;-23.56741088;-9.595275018;6.729409453;;4.197527072;
01.04.2010;84.9;-32.04129316;11.50803321;11.70703317;11.1605223;-6.066049703;13.80344135;-2.972486096;-31.06599594;-12.76161121;2.750792989;;-2.05089397;
01.05.2010;75.2;-26.52810922;11.48139929;14.07544138;12.38352066;-3.941616736;15.35691359;0.464456009;-25.59586475;-9.044474833;3.504614447;;-1.551551786;
01.06.2010;74.9;-26.01773635;10.52088032;14.61402748;13.34422565;-4.98803585;15.36456331;-1.51748382;-24.85734623;-9.721860601;3.450223723;;-1.769751558;
01.07.2010;75.6;-28.37829875;8.51203373;11.84443955;10.21464302;-3.190948449;12.61341251;-5.78716124;-27.89065014;-10.39100449;4.165994885;;0.050498001;
01.08.2010;77.1;-26.64589058;7.39447156;12.12382679;10.40067294;-3.503302158;13.67532899;-3.211120942;-27.68169894;-9.566016481;3.797687827;;1.183591264;
01.09.2010;77.8;-23.92493735;6.744001472;12.43448217;12.56718941;-6.289267249;15.19027131;-2.145643139;-22.38368299;-11.05487643;2.746544692;;-0.850406159;
01.10.2010;82.7;-21.82210948;8.616013654;13.64720159;13.0021638;-8.081113471;16.61659467;1.260428518;-20.59900474;-11.94198464;4.956480158;;0.928248963;
01.11.2010;85.3;-16.24710223;7.655494628;13.63958822;12.09587149;-8.846461763;16.04651666;1.587580645;-12.997298;-12.29543901;4.486099482;;-0.313122124;
01.12.2010;91.4;-13.17281843;8.57910983;13.97375135;11.32024363;-12.79477374;15.65376574;2.369059825;-21.83442341;-16.46245181;3.143805888;;-2.768111959;
01.01.2011;96.5;-25.90004717;6.878163939;15.8108048;11.93449446;-14.63372898;16.12122354;-1.271897611;-29.96463307;-17.26719172;2.396570588;;-1.121136755;
01.02.2011;103.8;-38.21525568;4.656816737;18.62447966;13.90029589;-12.61803234;17.80455264;-5.69081257;-37.72582733;-16.19059151;4.091418426;;1.513316025;
01.03.2011;114.6;-43.03110551;5.940674474;20.28349595;16.01869092;-9.758462205;19.68664008;-5.429182183;-40.79760989;-20.43419505;5.135791274;;1.817068079;
01.04.2011;123.5;-47.20920834;9.417169709;18.41377834;13.10447326;-10.82316757;16.18976808;-6.182985328;-43.8605862;-23.21676139;5.097387771;;1.066573825;
01.05.2011;114.6;-44.24342226;13.97123153;16.78623519;11.10707939;-11.42567032;14.59078851;-4.840799626;-41.09684292;-19.06324249;6.726215518;;2.079845833;
01.06.2011;114;-46.35067666;7.950602334;17.1432818;12.51414841;-7.196541414;16.62501672;-10.22035443;-45.85590909;-16.48299424;5.18677111;;0.61025311;
01.07.2011;116.9;-48.07785975;10.457151;16.92097948;13.48100152;-7.027164886;16.96115013;-7.8955959;-45.59436048;-15.93356438;5.002967547;;0.683746367;
01.08.2011;110.4;-44.03635831;11.66992306;17.86085519;15.77871054;-7.670080383;18.24687689;-5.783264497;-40.86316026;-13.04726907;3.75591327;;1.731822264;
01.09.2011;113.1;-48.34089325;7.811040383;14.23456351;12.21534843;-10.75183633;16.19651229;-8.557730054;-42.43215829;-15.28051329;3.79434014;;1.531967352;
01.10.2011;109.4;-48.3249463;6.380408633;18.29021993;16.24023778;-7.052242493;22.20460822;-11.28615896;-42.95521815;-11.51788917;6.509580492;;4.303049919;
01.11.2011;110.7;-47.65033192;0.756580275;21.42958374;20.68613551;-5.454484889;24.067607;-14.4851843;-46.3048489;-11.30671419;2.772333802;;1.155061864;
01.12.2011;107.8;-43.59853848;2.748782789;17.47125759;16.89601218;-3.577377396;19.00485406;-10.30334614;-41.82947747;-12.11245565;-0.203479633;;-2.04592053;
01.01.2012;110.6;-41.12731348;7.900204641;19.1058919;17.255776;-1.192078379;20.35647549;-4.951856356;-36.45015822;-6.239143351;5.982242288;;2.732084506;
01.02.2012;119.6;-39.10321419;8.631743794;15.73641949;15.45557594;-3.805043605;17.38668275;-5.329247577;-41.16160999;-11.87492305;5.996078419;;2.526582435;
01.03.2012;125.3;-44.53255642;13.68128811;14.056396;12.64382216;-3.679096229;15.94594504;-6.440523814;-43.99863458;-15.10241183;8.558159466;;4.741792148;
